Node,Long1,Lat1
278,-135.2406005859375,-133.78948974609375
279,-136.3384552001953,-133.84674072265625
280,-136.34902954101562,-132.95040893554688
281,-134.61819458007812,-134.04624938964844
282,-665.706787109375,151.44497680664062
283,525.2335815429688,-16.65294075012207
284,524.7245483398438,-16.1685791015625
285,524.396484375,-17.40325927734375
286,526.3174438476562,-16.513818740844727
287,523.2647094726562,-16.180252075195312
288,525.9559936523438,-15.65968132019043
289,523.8012084960938,-17.17027473449707
290,523.7522583007812,-17.859804153442383
291,526.9572143554688,-16.02717399597168
292,522.6612548828125,-16.963058471679688
293,522.1047973632812,-16.359622955322266
294,526.795166015625,-15.541353225708008
295,523.8154907226562,-16.458209991455078
296,523.142578125,-17.624187469482422
297,527.7427368164062,-16.27465057373047
298,521.9444580078125,-17.306598663330078
299,521.37841796875,-16.872032165527344
300,527.5054931640625,-15.102511405944824
301,523.2349243164062,-16.86410140991211
302,528.0441284179688,-15.685169219970703
303,521.3566284179688,-17.4511775970459
304,527.7694091796875,-15.484721183776855
305,-827.2916259765625,-118.65912628173828
306,331.852294921875,-780.7593383789062
307,331.3652038574219,-781.2315673828125
308,332.3918762207031,-780.8038940429688
309,331.61566162109375,-780.375732421875
310,330.9222106933594,-781.57373046875
311,-232.47030639648438,834.4525756835938
312,-825.7044067382812,-28.68083953857422
313,-826.6845092773438,-28.89621925354004
314,-824.8709716796875,-28.57377815246582
315,-827.3452758789062,-28.81439781188965
316,-824.004150390625,-28.688573837280273
317,-827.9801635742188,-28.874969482421875
318,-823.4009399414062,-28.54834747314453
319,-828.656494140625,-29.01453399658203
320,-822.8568725585938,-28.214385986328125
321,732.84033203125,-363.80303955078125
322,-427.4285888671875,-601.6216430664062
323,-428.4267272949219,-601.85791015625
324,-426.59783935546875,-601.3366088867188
325,-427.1205749511719,-602.1332397460938
326,-429.17803955078125,-602.1985473632812
327,-426.6649475097656,-600.54736328125
328,-425.9853515625,-601.5161743164062
329,-429.8914794921875,-602.5828247070312
330,-430.49078369140625,-602.5281372070312
331,-430.7585144042969,-602.1561279296875
332,-875.2361450195312,-336.54522705078125
333,-353.3989562988281,-659.7901000976562
334,-352.9974365234375,-659.169677734375
335,-354.09051513671875,-659.3507080078125
336,-353.9374694824219,-659.941162109375
337,-352.8947448730469,-660.424560546875
338,-353.700439453125,-659.3819580078125
339,-352.6982116699219,-658.631103515625
340,-352.5691223144531,-659.5616455078125
341,-354.651123046875,-659.5263671875
342,-354.40692138671875,-658.8427734375
343,-353.73516845703125,-660.405517578125
344,-354.6408996582031,-660.0597534179688
345,-862.907470703125,508.69415283203125
346,215.02304077148438,-676.008544921875
347,214.46958923339844,-675.1476440429688
348,215.94618225097656,-676.3053588867188
349,214.60543823242188,-676.3018798828125
350,213.82321166992188,-674.3043212890625
351,216.44232177734375,-676.32958984375
352,215.8435821533203,-676.9046630859375
353,213.13674926757812,-673.6552734375
354,212.6008758544922,-673.0927124023438
355,211.9409637451172,-672.8787231445312
356,211.62428283691406,-673.21630859375
357,211.87722778320312,-672.2887573242188
358,211.02182006835938,-673.5042114257812
359,746.7266845703125,46.530662536621094
360,-128.59031677246094,82.48211669921875
361,-129.03932189941406,82.15792083740234
362,-128.64944458007812,81.9103775024414
363,-127.43289947509766,82.9326400756836
364,-129.51832580566406,81.68915557861328
365,-129.6803436279297,82.20185852050781
366,-126.69221496582031,83.48030090332031
367,-127.51708984375,83.62773895263672
368,-129.09432983398438,81.4111328125
369,-128.9283447265625,80.89360046386719
370,-128.29360961914062,81.08102416992188
371,-627.0138549804688,-604.9661865234375
372,93.1210708618164,152.34971618652344
373,93.63235473632812,150.54835510253906
374,93.48968505859375,152.92478942871094
375,92.35053253173828,153.34742736816406
376,94.19021606445312,150.03094482421875
377,93.78252410888672,149.37704467773438
378,93.47481536865234,153.95144653320312
379,93.95033264160156,152.25338745117188
380,92.48011779785156,154.27456665039062
381,91.68360137939453,153.2361602783203
382,94.44673919677734,148.74346923828125
383,94.17537689208984,151.10227966308594
384,94.01803588867188,148.4503631591797
385,92.99519348144531,154.6898193359375
386,94.03215789794922,153.88356018066406
387,94.7753677368164,147.87313842773438
388,93.76950073242188,147.86550903320312
389,92.6953353881836,155.4383087158203
390,94.84496307373047,147.14927673339844
391,94.19891357421875,147.2577362060547
392,334.0387268066406,835.7394409179688
393,300.01263427734375,633.2964477539062
394,299.6615295410156,633.9329223632812
395,299.9552307128906,632.3140258789062
396,300.7720642089844,633.6249389648438
397,299.7582092285156,634.5817260742188
398,299.109130859375,633.6961669921875
399,300.0182189941406,631.64697265625
400,301.2748718261719,633.9970703125
401,458.5374755859375,819.5783081054688
402,662.6288452148438,-216.52835083007812
403,663.38818359375,-216.27198791503906
404,662.1220703125,-215.66665649414062
405,662.2185668945312,-217.35321044921875
406,663.5357666015625,-215.63414001464844
407,663.990966796875,-216.78636169433594
408,662.6397094726562,-215.21774291992188
409,661.4860229492188,-215.43336486816406
410,662.1800537109375,-218.04263305664062
411,661.6331176757812,-217.1887664794922
412,663.2402954101562,-215.14373779296875
413,664.137939453125,-215.67666625976562
414,429.4848327636719,-923.1400756835938
415,-291.3514099121094,443.0091552734375
416,-291.5596923828125,442.4731140136719
417,-291.8484802246094,444.0555725097656
418,-290.9161376953125,442.5622863769531
419,-292.3059387207031,442.7460632324219
420,-292.4886169433594,444.2809753417969
421,-291.58587646484375,444.85125732421875
422,-292.5423583984375,443.4922790527344
423,-292.4086608886719,442.0741882324219
424,-292.218017578125,444.9090270996094
425,-291.68243408203125,445.44775390625
426,-293.0384826660156,443.86767578125
427,-147.84803771972656,-874.9555053710938
428,-200.30882263183594,-756.9151611328125
429,-199.82872009277344,-756.6558227539062
430,-199.3084259033203,-757.420654296875
431,-201.2230987548828,-756.928466796875
432,-198.73695373535156,-756.9927978515625
